CSD ID, lambda_force (eV)
EHOROI,0.26078
EHULAW,0.22684
EJAHUT,0.25238
EJIYAZ,0.23564
EJIZEE,0.20638
EKUPUV,0.16717
EKUQAC,0.18
ELAYIB,0.94832
ELAYUN,0.94206
ELAZIC,0.95344
ELIPIA,0.16678
ELIPOG,0.19013
EMANOX,0.32555
EMANUD,0.20714
EMAPAL,0.18328
EMIHIR,0.37732
EMIHOX,0.35196
EMOPEB,0.33723
EMULAB,0.25403
EMUQIO,0.68095
ENIHAL,0.19164
ENIRAU,0.71911
ENOFAQ03,0.29197
ENUHUS,0.36374
ENVFUR,0.68422
EPABAA,0.28698
EQANIV,0.12605
EQIKOF,0.25509
ERISAA,0.46034
ERITAB,0.33242
ERITIJ,0.38791
ERIXIN,0.27406
ESEMUM,0.28864
ETPHFU,0.35034
EVAGUE,0.50683
EVEHUI,0.40299
EVENID,0.3754
EVINOM03,0.16763
EVULIQ,0.2972
EWILUT,0.40508
EWUMAL,0.18068
EYAHER,0.22372
EYANRO10,0.53467
EYESUY,0.3279
EYOSIU,0.18625
EYULOB,0.33702
EYUXEB02,1.21896
EZOCUT,0.69216
EZOPUF,0.35372
EZUFOW,0.50682
EZUGAJ,0.47486
EZUGIR,0.33523
EZUHIR,0.23297
EZUKIV,0.24897
EZUWED,0.38538
EZUWIH,0.16658
EZUWON,0.17925
EZUWUT,0.36949
FABFIA,0.31278
FACYOA,0.36503
FACZAN,0.35285
FADJEC,0.39499
FAJTOZ,0.14737
FAJXET,0.16862
FALBAY,0.2356
FALNAI,0.10198
FAMXEY,0.5848
FAPMOY,0.73383
FATRIE,0.3022
FAWTOP,0.28787
FAWVAD,0.31446
FAXGUJ,0.49457
FAXJIA,0.34715
FAXJOG,0.35494
FAXWOR,0.38489
FAYZEM,0.27575
FAZROO,0.34965
FAZSEF,0.22705
FEDPEK,0.22783
FEDPIO,0.22851
FEDPOU,0.22371
FEHROA,0.23283
FEHYID,0.11312
FEKDAC,0.49791
FEKYOM,0.37139
FEMJUD,0.33089
FEMKIS,0.48098
FEMPOE,0.19584
FEPZIM,0.82139
FEWFIX,0.2317
FICCOM,0.16078
FIDLEL,0.05672
FIGJOW01,0.17894
FIHZOO,0.34144
FIJBAE,0.42219
FIJQOG,0.41527
FINKUK,0.39603
FIPPIF,0.32272
FIQJEX,0.29146
FIRNAY,0.19306
FIRQIJ,0.36644
FISZUE,0.78254
FITCAP,0.04673
FITCET,0.05638
FITCIX,0.05166
FIVPAD,0.76436
FIVPEH,0.71999
FIVPIL,0.69155
FIVPUX,0.76443
FIZFOL,0.3961
FOBBUW,0.17188
FOBDAB,0.6152
FODJUG,0.17377
FODWAY,0.08471
FOGMIY,0.24738
FOJTOO,0.30895
FOKSEE,0.31439
FOLGUK,0.30344
FOMVEL,0.3776
FOMVIP,0.2995
FONTOT,0.41701
FONXAJ,0.24637
FOPDUM,0.27587
FOPHOK,0.05197
FOQLEE,0.71764
FOQZER,0.17693
FORPAF,0.25097
FOTGAY,0.1923
FOVQEN,0.09916
FOVYAS,0.23231
FOWCAY,0.13597
FOWNAJ,0.3682
FOYGEI,0.07452
FOYXAV,0.08505
FOZMIR,0.63479
FUBXOQ,0.17599
FUBXUW,0.21458
FUCTOM,0.24012
FUDJIZ,0.28618
FUFPUU,0.2156
FUJVIS,0.05455
FUJVOY,0.05684
FUMDAT,0.64826
FUNWES,0.23593
FUPPIR,0.2267
FUQTAP,0.18276
FUQTOD,0.19448
FUSMOY,0.68758
FUWVEB,0.3019
FUXKEQ,0.74153
FUZPIC,0.26785
FUZQOI,0.35905
FUZQUO,0.19208
GADFID,0.14936
GADTUD,0.59934
GADYAM,0.36098
GAFVUG,0.6804
GAHCIE,0.37113
GAJRUG,0.27331
GAJTIX,0.22732
GAJTOD,0.2272
GALPAN,0.52656
GALRET,0.41403
GAMFOP,0.17686
GAPVUR,0.3491
GARYEF,0.1623
GARYIJ,0.27746
GARYOP,0.07927
GATBIN,0.25787
GAVFIU,0.34588
GEGGAB,0.09152
GEGMUD,0.09113
GEGPAL,0.2601
GEGPUE,0.44258
GEGRUI,0.07762
GEGYEX,0.14597
GEHDOP,0.40268
GEHXEY,0.35264
GEJYOK,1.14135
GEJZEB,0.21793
GEKPOC,0.51811
GELDEI,0.22711
GEMYOO,0.247
GEMZUW,0.69173
GEQQAX,0.051
GEQYUZ,0.47253
GERGAN,0.22069
GERJEV,0.05367
GERKAQ,0.52086
GERMUL,0.5016
GESQEA,0.50798
GETCIU,0.05063
GEVBUG,0.23687
GEXDAQ,0.2097
GIBPEO,0.40121
GICMIR,0.33475
GICSOB,0.44148
GIDYUO,0.10819
GIJROI,0.32028
GIKGAK,0.09874
GILBUZ,0.18535
GILFUD,0.22747
GIPDIV,0.25446
GIPMAT,0.29505
GIRVEL,0.51952
GIRVIP,0.45066
GIRVOV,0.48098
GIRVUB,0.49278
GISNEC,0.69145
GISQOQ,0.23879
GIVLUU,0.28321
GIVSUC,0.04583
GIWCUL,0.27413
GIXGUQ,0.44887
GIYNOT,0.21282
GOCHAJ,0.42661
GOCHEN,0.4256
GOCHUD,0.72119
GOCKAM,0.22986
GODXIJ,0.17801
GODXOP,0.1533
GODXUV,0.18512
GOFKOD,0.24209
GOGVEE,0.37948
GOLZAK,0.41011
GOMGAQ,0.34845
GOMVOW,0.18041
GOMWAJ,0.18081
GOMWIR,0.09024
GOMWOX,0.10068
GOPVEP,0.32759
GOPVIT,0.34504
GOPWEQ,0.30072
GORLUW,0.73928
GORWER,0.18293
GOVBOL,0.28014
GOVBUR,0.29876
GOVCEC,0.34557
GOVDAZ,0.26743
GOVXAT,0.12744
GOXMOY,0.35561
GOYTIA,0.50171
GOYTOG,0.69379
GOZLAL,0.28204
GUBCEN,0.09008
GUBHUG,0.34334
GUCDAL,0.4471
GUGFET,0.17175
GUGFOD,0.17317
GUMCOI,1.40944
GUNFOM,0.06192
GUNFUS,0.0449
GUNGED,0.04183
GUNJIK,0.49767
GUNJOQ,0.84498
GUPLEI,0.17181
GUPLUY,0.71047
GUPMAF,0.16491
GUSKEL,0.19732
GUYPEW,0.28647
GUZYUX,0.63122
HACNEG,0.50378
HACNUX,0.32248
HACPAF,0.32614
HACPEJ,0.32671
HAFVOZ,0.19874
HAHMOU,0.17373
HAHMUA,0.17777
HAJZOK,0.68417
HAMKIP,0.16815
HAMXUR,0.16517
HAMYEC,0.17667
HAMYIG,0.16509
HAPKAM,0.25395
HAQXIJ,0.37653
HARCEK,0.33669
HARDIP,0.22482
HAYROP,0.49714
HEBGAX,0.4229
HECDUP,7.18008
HEDJAB,0.39788
HEFDUU,0.23447
HEGBIH,0.28273
HEGBON,0.76803
HEGJOU,0.97311
HEHWOJ01,0.28637
HEHYAW,0.17053
HEJCAC,0.24375
HEJDAD,0.27775
HEQFOY,0.23034
HESYIO,0.7272
HETKOJ,0.07559
HETKUP,0.08214
HEWNAB,0.40286
HEWZER,0.71185
HEZDIC,0.06674
HEZDOI,0.06418
HEZDUO,0.0592
HEZFAW,0.15289
HEZHEB,0.14156
HEZYET,0.26324
HIBHEH,0.54183
HIBVAQ,0.50675
HICFEH,0.32237
HICLUD,0.09329
HIDXAU,0.28429
HIHPUL,0.78702
HIMPIF,0.72112
HIPDIW,0.25813
HIPDOC,0.23145
HIPDUI,0.24242
HIRREG,1.90735
HISKEB,0.25804
HITRIL,0.36161
HIVLUV,0.40985
HIVMAC,0.4075
HIYSIU,0.19916
HIYSOA,0.25348
HIZBUO,0.25273
HIZSOB,0.18621
HIZTAO,0.12758
HOBKOA,0.37893
HODTEC,0.44055
HOFPOJ,0.27179
HOGREC,0.46998
HOKYUE,0.27205
HOKZUF,0.11924
HOLFEU,0.39255
HOLQUX,0.19278
HOMFIB,0.19329
HOMLON,0.2324
HOMQAB,0.35166
HONZIV,0.23445
HOPHUR,0.25451
HORPEK,0.32355
HOVLAF,0.11795
HOVRIT,0.24462
HOVXUL,0.11668
HOXLOX,0.11442
HOXLUD,0.12326
HOYXAX,0.7467
HOYXEB,0.28122
HOZNER,0.22419
HOZXEC,0.1327
HUFRIL,0.14782
HUGXEP,0.69738
HUHXAM,0.27497
HUJHAX01,0.05409
HUKLAD,0.73568
HUKQIO,0.24432
HULHIF01,0.33361
HUMKUY,0.35833
HUMXIX,0.17698
HUPLEM,0.15842
HUPMIR,0.23074
HUQBUQ,0.31389
HUQJAH,0.23421
HUQJEL,0.37701
HUQJIP,0.30498
HUQNOZ,0.28973
HUQNUF,0.27083
HUQPAN,0.23293
HUTHOV,0.72881
HUTLEO,0.18099
HUVQEX,0.18928
HUWSIC,0.74521
HUYJIW,0.68271
HUYMOG,0.22129
HUZGOA,0.69814
HUZHAN,0.62458
HUZJEU,0.05905
IBAFAU,0.30997
IBEVOC,0.33388
IBIZUR,0.54371
IBUKAT,0.16228
IBUYUA,0.28591
ICIFOR,0.23231
ICIFUX,0.33767
ICIRAP,0.91387
ICIZUP,0.16774
ICOBUY,0.38274
ICOMUL,0.21732
ICUDAO,0.19142
ICUDES,0.19327
ICUDIW,0.17009
ICUPUU,0.29613
ICUQIJ,0.29723
ICUQOP,0.28792
ICUQUV,0.27525
ICURAC,0.28575
IDEFED,0.39176
IDEFIH,0.43502
IDIBEE,0.10362
IDIHUB,0.05749
IDODOV,0.45721
IDOGAL,0.36344
IDUWEK,0.27231
IFAJUV04,0.15802
IGIPIA,0.53273
IGONEZ,0.07552
IGUBEU,0.25401
IHECOQ,0.10368
IHESIZ,0.34843
IHEWEY,0.31414
IHIVOM,0.58031
IHIVUS,0.5402
IHOBUE,0.1965
IHOCAL,0.18392
IHOJEW,0.53654
IHOQAZ,0.42247
IHOQUT,0.38552
IHOXAH,0.36994
IHUVEO,0.54058
IJAJIP,0.39464
IJELIU,0.5059
IJEMIT,0.43979
IKAHAE,0.39162
IKAYEA,0.43448
IKITIH,0.09761
IKITON,0.11015
IKITUT,0.09673
IKOSUY,0.3093
IKUQIQ,0.16819
ILOZEQ,0.41376
ILUVOC,0.10519
ILUVUI,0.10974
ILUWAP,0.14646
ILUWIX,0.07926
ILUWOD,0.10452
ILUZIA01,0.23442
IMUKOS,0.46426
IMULEJ,0.37416
INABUV,0.29286
INAFEI,0.38159
INAKAK,0.27031
INDANT,0.15523
INENOE,0.27587
INOGIB,0.29917
INUBEA,0.44084
IPADEK,0.07231
IPCPAZ,0.34044
IPIHAR,0.38704
IPINAW,0.80325
IQABAE,0.33062
IQOSEM,0.2878
IRUJEM,0.22766
IRUKEL,0.71738
IRUNEP,0.3658
IRUNIT,0.38444
ISIFUN,0.23884
ISUGAG,0.23552
ITACOV,0.11842
ITACUB,0.13664
ITAFOZ,0.19683
ITATUU,0.26724
ITEZIS,0.32029
ITIBUK,0.29685
ITIPIK,0.53969
ITOQOY,0.4271
ITOQUE,0.42345
ITUDAD,0.29609
IVAGES,0.10893
IVEGAS,0.17334
IVIQIP,0.35995
IVIQOV,0.20002
IVUJOZ,0.26425
IWEZOB,0.31126
IWUPOF,0.45183
IWUQAS,0.32498
IXAPOM,0.16721
IXARUU,0.45115
IYUGEQ,0.299
IYUXUX,0.27036
IYUYAE,0.33221
IZAXOW,0.47372
IZESAI,0.47943
IZETEO,0.23861
IZEVEP,0.28684
IZIXOE,0.27047
IZUGER,0.17874
JABWUF,0.50826
JACWIW,0.22012
JACWOC,0.22449
JACWUI,0.22006
JACXAP,0.22476
JACXET,0.22292
JADTOX,0.44828
JAFBAT,0.10047
JAHRES,0.192
JAJBEE,0.22326
JAJRER,0.32285
JAJWUP,0.31117
JAKDIL,0.09642
JAKPEQ,0.54749
JAKXAV,0.22554
JAMQIX,0.48709
JANKUF,0.27152
JAPYII,0.20265
JAXJIC,0.36847
JAXKAV,0.39513
JECBOL,0.31667
JEHLOA,0.51887
JEHMAN,0.4874
JEKGAK,0.22406
JEMSIE,0.23174
JENLAS,0.22455
JEXHID01,0.15593
JEXNOS,0.15623
JEYDOJ,0.33085
JICZIH,0.22279
JICZON,0.22692
JIGXAB,0.75476
JIJGIS,0.16439
JIJJIY,0.25551
JIJJOE,0.25333
JILCIT,0.1048
JILZIO,0.2704
JISDIB,0.42619
JOBVEE,0.55268
JOCHER,0.39602
JOCJET,0.34428
JODNAU,0.22997
JOGMOI,0.37725
JOHFOC,0.51005
JOHKAU,0.39252
JOJPIJ,0.44303
JOLLEE,0.05298
JOLLII,0.05564
JOMSAI,0.10311
JORWIY,0.31494
JOSKAD,0.4572
JOTPEP,0.28604
JOXXEB,0.32326
JOXXUR,0.26181
JOYJAL,0.21617
JOYLUG,0.27064
JOYMER,0.14984
JOYMIV,0.14316
JOYMOB,0.13008
JOYMUH,0.28015
JOZMUG,0.40449
JUDHIC,0.41759
JUDYEP,0.05135
JUFVAK,0.25968
JUGBIW,0.28452
JUHFEX,0.21603
JUHYES,0.37565
JUKBOJ,0.21548
JULBAW,0.05711
JULBIE,0.05351
JULCIF,0.06113
JULCOL,0.05566
JULSOY,0.24455
JUPJOV,0.35851
JURBAC,0.10519
JURBEG,0.13169
JURBIK,0.1217
JURBOQ,0.06809
JURBUW,0.13395
JURCAD,0.19846
JURCEH,0.06255
JUSLER,0.04595
JUSLOB,0.04579
JUTLOC,0.61377
JUWTED,0.30616
JUWTIH,0.25062
JUWZUZ,0.30741
JUYKUL01,0.49631
KABLAA,0.25059
KACTOA,0.30337
KADBOH,0.30865
KADBOI,0.12437
KAGFOP,0.34587
KAGGAC,0.3305
KAGGEG01,0.32009
KAGGIK,0.32154
KAGSAM,0.14688
KAJTUM,0.26691
KAKREW,0.11928
KAKTUN,0.21451
KAKVAV,0.23138
KAQYOS,0.25589
KARZEK,0.43102
KARZIO,0.40621
KAWNOM,0.38262
KAXGIC,0.21576
KEBDIH,0.40884
KEBDON,0.43821
KEBDUT,0.39722
KEBFAB,0.4352
KEGMOA,0.10276
KEGQIZ,0.1499
KEGQOF,0.30346
KELBOU,0.38027
KELNAR,0.70582
KEQSIL,0.33433
KETDAQ,0.0528
KETDEU,0.04742
KETDIY,0.04596
KEYJUU,0.28059
KEZHII,0.25329
KEZHOO,0.31166
KEZHUU,0.2812
KIBLOZ,2.69086
KICGUB,0.38912
KIFCAF,0.24466
KIFHOY,0.25059
KIKSIJ,0.43917
KINGIA,0.2718
KIPQUY,0.20595
KIRBUI,0.41724
KISNUY,0.40871
KISPAG,0.42636
KISPEK,0.37198
KISPOU,0.33446
KISPUA,0.32811
KISPUY,0.2185
KISQAF,0.22784
KISQAH,0.27866
KISSOX,0.39735
KISSUD,0.35854
KISXES,0.23968
KIVPOV,0.11685
KIXDAX,0.37064
KIXDUR,0.54417
KIXWEW,0.75184
KIXWIA,0.07418
KIXWOG,0.11589
KIXWUM,0.09986
KIZWUO,0.26083
KOGDIU,0.41695
KOGXIQ,0.22856
KOJNOO,0.24233
KOKMIH,0.24821
KOKNUU,0.37087
KOKPAC,0.36582
KOPCOJ,0.48581
KOPMAG,0.27979
KOPREO,0.21316
KOPVET,0.1195
KOQDOM,0.21176
KOVKAK,0.24398
KOVKEO,0.24389
KOVNIV,0.17588
KOXJAK,0.20406
KOYWUT,0.18521
KOZHIS,0.15012
KOZXIJ,0.25971
KUCBER,0.12618
KUCGAR,0.22386
KUCGUL,0.27579
KUDDAP,0.43273
KUFHUQ,0.16099
KUFWOA,0.09496
KUFWUG,0.05544
KUGCIY,0.07685
KUJFEC,0.51412
KUJSAL,0.17818
KUJSIT,0.26171
KUJTOB,0.34919
KUKCUP,0.39898
KUKCUQ,0.40389
KUKVOE,0.28402
KULPOZ,0.22818
KULYIC,0.32698
KUPLUE,0.41148
KUPWOJ,0.22374
KUQGUZ,0.23156
KUQKAL,0.09034
KUQKEP,0.11617
KUQLAM,0.09877
KUQLEQ,0.10166
KUQLIU,0.09482
KUSBEF,0.45728
KUSQEX,0.07562
KUTZUX,0.25545
KUVBAH,0.28565
KUVJOD,0.09
KUVJUJ,0.07881
KUVKAQ,0.06606
KUVTAY,0.46145
KUWFEQ,0.05469
KUWFIU,0.05891
KUWFOA,0.05471
KUWQOL,0.08883
KUWWAD,0.08604
KUWWIK,0.24217
KUWXAD,0.2353
KUWXEH,0.24071
KUWXOR,0.23546
KUWZOT,0.16905
KUXNOI,0.93922
KUYBIS,0.35013
KUZFAO,0.20945
KUZKIB,0.34981
KUZKOH,0.51845
KUZPOL,0.22672
LABYIX,0.29479
LABYUJ,0.27619
LACJAD,0.33344
LAGJEL,0.48493
LAHBIG,0.24107
LAPPEZ,0.67293
LAVMAW,0.34952
LAWCUI,0.75428
LAYTOX,0.29202
LAZVOY,0.71363
LECSEU,0.28398
LEDRUJ,0.49721
LEFWIF,0.29144
LEHDIM,0.589
LEKLAR,0.23987
LEKLIZ,0.30976
LELZEK,0.52817
LENDAM,0.71309
LENHER,0.31933
LENPEZ01,0.22565
LENQUS,0.08431
LEPPIF05,0.24421
LESCUJ,0.17732
LESJIE,0.26553
LETHAW,0.4637
LEVGIE,0.37617
LEVJON,0.30464
LEXJOP,0.23395
LEXNEK,0.27761
LEXZOF,0.52918
LEXZUL,0.17027
LEYHON,0.50799
LICGAG,0.40382
LICLOY,0.1671
LICQUL,0.30719
LICROG,0.31546
LIHPUP,0.69788
LIJPOK,0.25917
LIJPUS,0.0502
LIJQAZ,0.04997
LIJQEB,0.74451
LIJRIG,0.50744
LIJTUV,0.40315
LILJOF,0.41294
LILJUL01,0.70591
LIPTAG,0.30083
LIPTUA,0.55214
LIQGEA,0.39571
LIQGIE,0.50912
LIQTEN,0.2137
LIQTOX,0.30876
LIQZOC,0.60767
LISTEN,0.50414
LITDID,0.2498
LITYUL,0.16659
LIXDAA,0.14781
LIYSOE,0.67945
LOBGUE,0.20007
LOBHIT,0.19414
LOBHOZ,0.18615
LOCPUR,0.47326
LODCUD,0.40248
LODDOY,0.3182
LOFLIE,0.36763
LOFSUV,0.67393
LOHJEA,0.25714
LOHLOL,0.31214
LOHNIH,0.30595
LOKPAF,0.2295
LOLGOI,0.19062
LOLHAV,0.17471
LOLXUH,0.21147
LOMROV,0.34009
LOMTOY,0.31762
LOMXIW,0.41067
LOPJAD,0.41992
LOQXOF,0.23331
LORCAZ,0.04614
LORMEN,0.26945
LOWPEU,0.23325
LOXQAT,0.20392
LOXQUM,0.38959
LOXRAT,0.34783
LOXSEZ,0.24814
LOYCUA,0.38729
LOZTIG,0.19074
LUCFOH,0.48574
LUCYAL,0.23726
LUHKII,0.21371
LUHKOO,0.20948
LUHTEQ,0.05538
LUKSER,0.40634
LUNQIX,0.5601
LUNYEA,0.29932
LUPJIP,0.18829
LURYAB,0.12021
LUSMEU,0.05665
LUSXOP,0.08471
LUSXUV,0.05476
LUTJUG,0.34971
LUTPUN,0.37354
LUTQAU,0.65226
LUVRIG,0.09237
LUWVOR,0.42731
MAXDAT,0.03929
MAXDEX,0.06124
MAXDIB,0.03611
MAYGAX,0.23067
MEBCIH,0.17457
MEBZID,0.40809
MEBZOJ03,0.49906
MEGWIH,0.17067
MEGWON,0.1732
MEGXEE,0.24334
MEJKOC,0.28355
MEJPEY,0.49735
MEKJUJ,0.19896
MEKKAQ,0.19873
MEKXAE,0.47862
MEKZEH,0.54676
MELCEO,0.1478
MEPKAW,0.27717
MEQROQ,0.6643
MEQWEN,0.31755
MERNEF,0.40546
MERRUX,0.465
MESMUT,0.42879
MESTOW,0.08684
METYUI,0.48602
MEVBIB,0.39444
MEXLIN,0.39231
MEXLOT,0.36115
MIGGOB,0.18486
MIVVUL,0.4766
MIXYEA,0.16182
MIYPUI,0.15794
MIYQAP,0.19414
MIYQET,0.12048
MIYQIX,0.12618
MOCGOD,0.28757
MOHHAU,0.2986
MOJFEX,0.30985
MOKMEG,0.29006
MOMMUY,0.25578
MONFIG,0.40486
MONFOM,0.40182
MONFUS,0.40456
MONGAZ,0.4285
MORYOH,0.27274
MOZZIL,0.22722
MSFURY01,0.39404
MUBQOS,0.18342
MUDHUO,0.22362
MUDRIN,0.2222
MUFDID,0.36874
MUFZOC,0.22739
MUGGEC,0.24366
MUGXUK,0.16619
MUHPUD,0.37523
MUJGAC,0.2504
MUJSIU,0.27168
MUJSUG,0.4332
MUKKAE,0.08077
MUKKOS,0.18985
MUKWIA,0.50034
MULGAE,0.21454
MUMLUD,0.20571
MUMMAK,0.56491
MUMPOC,0.25571
MUMQAP,0.32007
MUMZIE,0.28317
MUMZOK,0.28696
MUNHEK,0.21895
MUQNUH,0.74751
MUQNUK,0.07014
MURCOU,0.34257
MUSKES,0.04569
MUVSAY,0.18433
MUXPON,0.14672
MUZBOY,0.40739
MUZTEJ,0.07522
NABGEF,0.15237
NAFZUP01,0.29171
NAHPIW,0.23562
NANGUE,0.30808
NANHAL,0.73216
NAPANT01,0.23348
NAPPYR,0.23688
NAQCUF,0.32502
NATWOU,0.10702
NAWCAP,0.13096
NAZBAR,0.11
NBZMAA,0.74931
NEDFEJ,0.31806
NEFTEA,0.33248
NEJXUW,0.28312
NELCUD,0.094
NEMHAO,0.25927
NEMJAT,0.39294
NEMPAY,0.14382
NENKAV,0.41004
NEQKUQ,0.70983
NEQVUC,0.58195
NEQYAL,0.0973
NERGUP,0.19563
NEVPEJ,0.41931
NEWJIK,0.23829
NFMLEA,0.68837
NIBHOX,0.34472
NIDMIZ,0.29996
NIMCOD,0.25789
NINQEH,0.46091
NIPPAG,0.76402
NIPPIN,0.18169
NIQLUX,0.45837
NIRGED,0.40741
NISTAL,0.34805
NITJEH,0.26714
NIWDIG,1.20533
NIXVOH,0.26738
NIXWAU,0.2641
NIXWEY,0.27211
NIXWIC01,0.27738
NIYGUA,0.51035
NIZFEK,0.09268
NOGCIX,0.6401
NOGCOE,0.24715
NOGJAW,0.3125
NOHTUA,0.28379
NOJHEZ,0.25957
NOJPAG,0.2276
NOJPIO,0.2257
NOLJOP,0.06199
NOLJUV,0.03645
NOLKAC,0.13188
NOLKEG,0.10973
NOLQAJ,0.32724
NOLQEN,0.37793
NOLTEP,0.17854
NOLTIT,0.15954
NOLTOZ,0.17862
NOMRAK,0.24938
NONQUF,0.46583
NONREQ,0.37473
NONZIZ,0.22892
NOPCAW,0.20261
NORDOP,0.37186
NOSFIN,0.23217
NOVPAS,0.04621
NOXKES,0.50699
NOYXAD,0.21632
NOZCUC,0.44616
NOZTOL,1.61876
NPQUIM,0.42021
NUBVAK,0.06006
NUBWIS,0.4158
NUCVAL,0.18267
NUHCEB,0.55268
NUHFOO,0.28424
NUHKIN,0.21832
NUJTOE,0.26337
NUKJAG,0.16059
NUKJIO,0.33876
NUKTOE,0.1035
NUKTUK,0.19108
NULLUE,0.40858
NULZAY,0.23378
NUMCII,0.23576
NUNHUB,0.14354
NUNQAR,0.04651
NUPQUM,0.33737
NUPRAT,0.34003
NUQJIT,0.1757
NUQZIJ,0.28413
NURKAN,0.39716
NUSDOX,0.25149
NUSDUD,0.22461
NUSTAZ,0.24577
NUSWOQ,0.05436
NUSYIL,0.13102
NUTCUC,0.27398
NUTDAJ,0.25872
NUVXUA,0.04467
NUXNUS,0.22792
NUXPAA,0.22711
NUXXEM,0.04539
OBEMOA,0.36584
OBEMUG,0.41422
OBENER,0.31746
OBEPUJ01,0.07004
OBODEO,0.12059
OBOHUL,0.22602
OBOXAE,0.39399
OBUCUJ,0.13405
OBUGIE,0.32115
OCAGUV,0.36663
OCOLUQ,0.40363
OCOQIG,0.17254
OCUXES,0.18154
OCUXIW,0.18508
OCUXOC,0.1849
ODIVAB,0.21858
OEMPRM,0.35483
OFACEG,0.27882
OFACIK,0.23603
OFEYUV,0.21482
OFUSEQ,0.33099
OFUSOA,0.62476
OGEBAE,0.4823
OGESID01,0.71997
OGETIG,0.34702
OGIBIS,0.05811
OGIREE,0.19468
OGUGUV,0.33624
OGUHIK,0.36622
OGUYUK,0.30072
OHIMEZ,0.12061
OHISIJ,0.17957
OHIXEI,0.42615
OJIBOA,0.15626
OJICIV,0.11776
OJICUH,0.33438
OJIDAO,0.14489
OKIFUL,0.45302
OLEBOY,0.60701
OLELUO,0.34192
OLEMAV,0.36137
OLEMEZ,0.34032
OLERIH,0.44194
OMAZIL,0.2061
ONOXUL02,0.16025
ONOYAS,0.15303
ONOYOH,0.05545
ONUBOQ,0.24399
OPEJID,0.28715
OPISOW,0.11576
OPUGIR,0.61795
OQECAQ,0.29694
OQUPUM01,0.38126
OQURUP,0.18983
OSEZET,0.33633
OTELAC,0.26216
OTELEG,0.26473
OTELIK,0.26148
OTEMAD,0.26306
OVEWOD,0.11206
OVEWUJ,0.97548
OVEXAQ,0.10598
OVOVUS,0.18543
OWOMEU,0.28312
OWUZIR,0.20364
OXEMIO,0.21434
OXEMOU,0.21239
OXOGUE,0.24375
OYIJAJ,0.21355
OYOVII,0.31899
OYOYUY,0.57472
OZONOI,0.20798
OZUYUF,0.25949
PACZIG,0.50248
PADDIH,0.35123
PADLIS,0.18476
PADPUI,0.67123
PADZEB,0.7955
PAJCOT01,0.2902
PAJMOD,0.60599
PAJPOI,0.12631
PAJPUO,0.12307
PALFEO,0.21482
PAMMEY,0.39928
PAMMIC,0.39524
PAMYUY,0.25157
PAQYEM,0.32902
PARKIF,0.22977
PAVVUG,0.04623
PAWMOR,0.36878
PAXBAU,0.57231
PAYXAQ,0.17833
PAZQOZ,0.16863
PEBXEC,0.64077
PECBEE,0.30747
PEDTAU,0.38323
PEGRIF,0.32957
PEHBEM,0.13358
PEHBIQ,0.12674
PEJHOD01,0.23162
PELHOF,0.56972
PENCUG,0.36132
PEPNIH,0.41021
PEQBAO,0.09595
PEQQUA,0.2851
PERFUP,0.24513
PESDAV,0.33487
PETCOJ,0.37629
PETKIL,0.33925
PETREM,0.34125
PEWDUT,0.05506
PEXXEY,0.05594
PFBBFL10,0.51992
PHPYHP,0.2036
PHTHCY01,0.04379
PHXTCN,0.39486
PICVEF,0.17541
PICVIJ,0.19947
PICWAC,0.22682
PICWEG,0.18741
PIDLIY,0.42753
PIDZAE,0.46488
PIFJUK,0.04508
PIFMAV,0.06831
PIHXAI,0.10012
PIHZEO,0.21797
PIQMEH,0.54826
PITPUE,0.70737
PIYWUP,0.47037
PIZCUW,0.46648
PIZLUI,0.29795
PMTHTZ,0.25859
POBPIG04,0.23604
POBRUU,0.74345
POFDOD,0.22591
POFDUJ,0.22234
POGSEL,0.73509
